Review,Rating
"Today I visited Neha Veterinary Hospital and was impressed by its cleanliness and hygiene Although I had read reviews about the hospital before my visit, my experience exceeded expectations, The quality of service was outstanding, and the staff members were exceptionally professional Dr Azeemulla, in particular, provided excellent care and I highly recommend his consultation.
All his explanations were very clear in very simple language.convincingly I want to rate 10 also if options are there.
I saw people waiting there to meet him

Really I am very happy to see such a beautiful set up for animals",5 stars
"During my recent relocation, I needed support with my cat’s move. My cat, although 7years of age, is super scared and shy around anybody other than our family, and very talkative with us. We approached Neha Vet Hospital for help. Although the 1st visit did not go well, I revisited the Vet Clinic the same weekend and was fortunate to get full support from Dr Azeem. He guided me exactly how the anesthesia had to be administered on my cat and gave me the requisite meds etc. Relocating my cat after that was stress free and she recovered without any issues.

Thank you Dr Azeem for trusting me and supporting me wholeheartedly. My cat, Cookie, and I are happy and contended souls in our new abode 😻😻",5 stars
"I had an amazing experience at Neha veterinary hospital The staff was incredibly friendly, professional, and caring toward my pet. The veterinarians were highly knowledgeable and took the time to explain everything in detail, ensuring my pet received the best possible care. The clinic was clean, well-organized, and equipped with modern facilities.

I truly appreciate their dedication and compassion. My pet recovered quickly thanks to their excellent treatment. I highly recommend Neha veterinary hospital to all pet owners looking for reliable and caring veterinary services!""

You can personalize it by mentioning:

The specific treatment your pet received.

A staff member who stood out for excellent service.

The clinic’s facilities, cleanliness, and overall atmosphere.",5 stars
"Dr Azeem is very humble and kind.
He is very talented and the best veterinary doctor i know.
The first time I went to this hospital with my few days old puppy. His condition was very bad that time he was in full pain, before coming here i went to vetic , they didn't understood my puppy's case.
Then I came here, Dr Azeem cured him properly and within few minutes he became comfortable and relaxed.
A great thanks to Dr Azeem and Neha Hospital's nurses.
You Guys are Great 😃",5 stars
"I dont even want to give a single star for this so called  Neha speciality veterinary hospital and so called doctor Mr.Azeemulla. They are just money minded people who don't care for your pet's life... they only think about how to dig money out of you.
Because of this people i lost my little girl who was just 5yrs old. When i first took her to them, they said she has tumour and needs a surgery. Any doctor in the world who wants to perform a surgery will definitely take a blood test to know the medical condition of the dog. But these people just wanted to make the max money out of everything. They simply told us a surgery is needed and performed it. He charged us 11 thousand for this. Later we were asked to bring our pet every 3 days once for dressing, for which he charged 300 per dressing. Later my pet's situation worsened. Everytime we panicked and took her to hospital, there was shear negligence from this people. Finally my pet's final day she was taken to this hospital again beacuse her leg had swollen, we insisted him to take a blood test and discovered that her platelets had dropped down massively. If at all this blood test was taken earlier before the surgery we could have known her medical situation and improved it in the first place...with less platelets and this surgery added on to decease her health much more.People who love your pet's, sit for a while and think multiple times where you take them to for medication because at the end no one owns the responsibility of your pet's life. Taking her to government veterinary hospital would have been far better because if you have patience and time that would be the best place as they atleast care for our pets. We spent almost 40 thousand for her treatment in this hospital and still didn't receive the care that was needed for her. It's not about money, it's about losing my pet's life despite all our hope we had and believing this so called doctor and hospital that i want to highlight. We lost our pet 5 days ago and the thought she is no more is killing me so much. Hope her soul rest in peace and she comes back to me again. I am writing this review so that atleast it would save some other life.",1 star
"My experience with the hospital has been very positive.

I've had a female cat successful spayed there and the doctors were helpful throughout the process and beyond. The doctors are mostly available and help clarify queries you may have about a sick pet. My dog who experienced fur loss recovered well with the medication they administered.

Also, there's a wide variety of quality pet products avaliable, some of which they offer at discounted prices. A shout-out to the friendly staff of the place too.

I definitely recommend the place. Cheers.",5 stars
"I had an amazing experience at neha speciality Veterinary Hospital. It’s the perfect place for dogs, especially Golden Retrievers! The staff is extremely professional, caring, and knowledgeable. My Golden Retriever received excellent treatment and was vaccinated without any issues. The cost for vaccination was between 1000 to 1500, which I found reasonable for the quality of care provided.

This hospital has everything a dog owner needs, from high-quality dog food to fun toys and essential vaccines. It’s truly a one-stop shop for pet care. If you’re looking for the best care for your furry friend, I highly recommend this place!",5 stars
"I had a great experience at Neha Specificity Veterinary Hospital. The doctor is highly skilled and immediately diagnosed the issue with my pet, Pablo. The treatment was prompt and effective. I truly appreciate their expertise and care. Highly recommended!",5 stars
Visited recently. The place is a bit chaotic without any order or system. I had to wait a lot and when the doctor finally came for consultation he dint have much idea about Turtles and reptiles. Plus lot of interruptions by other people during the consultation. Need to improve on their professionalism and also have some knowledge about turtles and reptiles.,2 stars
"Money minded and sick people. Never take your pet here. Once you go there, your pet keeps getting sick every two months and you will be forced to keep going there. There’s something fishy with their treatment. Even for small issues like fever, they prescribe irrelevant medicines and a long list of things like scanning and everything and get your pet hooked up. Instead of your pet getting healthy, it becomes weak and dependant on medicines.",1 star
"I'm writing this review just to express my heartfelt gratitude to Dr.Azeemulla.. A few days back I took my 3 months old kitten, Skye here who was very sick and Dr.Azeem took quick actions and did a proper  diagnosis and test because of which we got to know our kitten had fcov. He wasn't eating food or drinking water at all.. whenever he would see food, he used to gag but after having the medicines prescribed by Dr.Azeem, Skye started showing interest in food and from the next day he even started playing like normal! I've seen other doctors in other hospitals who prescribe medicines without even doing tests and because of this I've lost one of my kittens last year but this time when my kitten, skye was sick, a friend of my friend recommended us this hospital and fortunately Dr.Azeem was available when we took our kitten there.. As we all know that a 3 month old surviving from fcov is a very rare thing and because of Dr.Azeem my kitten recovered completely from fcov within just 12-13 days and now he is again a happy, playful kitten! We took him for the usual vaccination after the recovery and the other staff members and other vet doctors were also so friendly I'll be always grateful to Dr.Azeem and the whole staff of this hospital for saving my kid.. Seeing me being worried for my baby, Dr.Azeem even calmed me by saying he'll definitely be fine within 15 days and now I know why he said that so confidently.. To everyone who is reading this review, please take your pet to this hospital if you are looking for a veterinary hospital with genuine and caring staff who are not money minded at all!! And if anyone from Neha Speciality Veterinary Hospital is reading this review, please please convey my regards and gratitude to Dr.Azeemulla 🙏",5 stars
"Best pet Hospital for Pets and very hygienic
Excellent Services Affordable Prices and The best Doctors",5 stars
"Today I took Iguana animal for emergency consultation.
What a treatment, I was happy to see their knowledge on exotics, they put the sutures under, gaseous anesthesia and my pet iguana is fine
Really highly recommended place for Exotics",5 stars
Had taken out Lhasa Apso for eye infection (right eye swelling) the doctor was friendly with my pet and diagnosed him and prescribed him with Eye drops and eye cream and an injection.,5 stars
"One of the best, straight of the art technology used for Animal health care. Services with hospitality is highly appreciated. Animal boarding and utilities are add on to their perfect portfolio.",5 stars
"Fake reviews, dirty hospital, uneducated doctors and employees..
My cat had her neutering done here, developed infection which was not diagnosed by the doctor, which I myself or any other person could tell, but doctor denied and didn’t give the appropriate treatment..
fast forward 15 days later also my cat is still recovering from the surgery.. pathetic",1 star
"Amazing place for my cat
He had FIP
They diagnosed very well and guided us to follow 84 days of therapy
Oh what a improvement, went to many vet clinics before going to this place

Now I strongly suggest this hospital for excellent facility and amazing doctors like Azeem, Salman, suhas
This review should help pet owners for good diagnosis and commandanle treatment
All the best for them",5 stars
"Neha veterinary hospital is the best in North Bangalore
Some idiot has written some review
All baseless
I visited in the midnight and felt very happy to see the service in odd hrs
Great
I can give 1000 reviews",5 stars
"Highly recommended @neha speciality Hospital. My Dog suffered Parvo virus.Fully vomiting and motion with blood. Suffered lot. But With his treatment , Now my dog completely Recovered.
Thank you Doctor Azeem.",5 stars
"highly recommend neha specialist Veterinary hospital  for your pet. The care and attention they give you is par excellence. Dr. Azeem is a great doctor. he is really smart. Our cat was seriously ill and we were desperately searching for a second opinion, when a friend recommended Dr. Azeem @neha specialist veterinary hospital.he brought our cat back to normal in just a week and I am so grateful to her and the whole team who took such good care of him.",5 stars
"Hi it’s Rocky, in this hospital it’s was a very bad experience to me, my dog was very well before going to this worst hospital, Dr Azeem have been said my dog was having tvt cancer after a treatment he will be fine but no he lied to me after the treatment it started to bleeding from is nose and mouth and now my dog is no more 😭and he was just 2.5 years old😭, this is the worst hospital please keep your pets safe 😭😭, I don’t know how this people’s treated my dog we lost 😞 our dog there is a pics before the treatment and after the treatment, Chii worst hospital and there doctors, this people don’t know to treat, only this guys make money and make fools for there customers Chii🤬.",1 star
Good place for all pet parents dr Azeem is the best,5 stars
"we took our persian kitten of 6 month old to trim the matted fur on abdomin. the groomer insisted that full shaving needed and gave him a zero shave after sedative injection. this was our first time doing this for our cat and thought we could trust professionals . our cat was sick for 3 days afterwards his whole body was very closely shaved multiple times including sensitive areas the way sheep or big animals were sheared. we watched in horror the way they handled our cat. we were worried sick and wondering whether he would recover from the trauma for 3 days. now he is dull and has many scars on his abdomen where skin got severely irritated . we had a horrible experience. never going to this place. upstairs of hospital is a hall that smells very bad. many workers are there, these men seems raw and inexperienced.",1 star
Very good treatment and suggestion given to look after the stray dog.very humble doctors and care takers. One stop solution place for animals.cost effective.,5 stars
"My one year old GSD male (Caesar) is brought back from the hold of death. Truely.We thought we will lose him for sure. Hearty thanks to Dr. Azeem, his wife & support staff. That today Caesar is hail & healthy.They took care of him, like their own. Administered the right & quick relieving medications. Post treatment too. Space is less, else I would like to pen down more. We will forever be fearful to Neha speciality veterinary hospital. God bless you'll.",5 stars
Very experienced doctor...My pet dog got treated here...now he's 2 years old and he's doing absolutely good and healthy...Thanks to the Doctor and for the first class treatment to My Pet!!!,5 stars
"Very bad experience yesterday I took Royal canin Gravy 4 pockets to my golden retriever pet in yesterday night in hurry, they gave us expired greavy printed 2021 intensely,I  took it on trust , we cross check any food before giving it to our pets  and today  while returning to shop  they asked lot of questions ,pets are gift from God we love them so much ,don't trust anyone while purchasing pls see the expiry date ,they wants to sell it and make the money . Pls don't trust blindly.",1 star
"Excellent Service By Dr Azimulla Sir & Dr Suhas Sir towards pet care,  Ms.Anjum mam is very good at greeting the customers and caring and lovely towards pets....",5 stars
"Hey Pet lovers, are y'all looking for a place where you can get medical help, grooming & treats for your furry friend? Then head to Neha speciality veterinary Hospital to get these services! 🐶🐱
Your furry friend is in the caring hands of the docs & the staff. Need your doubts cleared? Talk to Dr. Azeem, who patiently answers all your queries.
Visit Neha speciality veterinary Hospital and you & your furry companion will leave from there with a smile on your face. 😁🐱🐶",5 stars
There was no doctor during night time..all staffs were sleeping...a very worst experience about this hospital..for them even I lost my kitty😔 …,1 star
Everything is good especially the medical aspect...have been immensely proficient when I visited for an emergency....staff can be a little more accomodating of fearful and stressed pets.... The chief doctor has always given us the best and most accurate medical advice,4 stars
Bad experience. The night duty doctor is not well experienced. When he gave injection to my dog she started to bleed upon asking he's not giving valid reason for bleeding,1 star
"DrAzeem is really good doctor followed by his team Dr Suhas
They show humanity
They sutured my street dog for a lesser price,not imagined price
Thanks to them
I recommend highly this place for pet owners as they speak truth only",5 stars
All Good... super nice Doctor,5 stars
The doctor was very professional and gave very comforting suggestions. He was very empathetic towards my dog,4 stars
"My cat had an accident and the surgery was carried out immediately, Brilliant trust worthy hospital, very grateful for the doctors and staffs here, glad to see my pet being out of danger and back at home. Thank you.",5 stars
"Dear Pet lovers
I am experiencing with this hospital as one of the best hospitals in India with modern scan equipment’s and techniques..Here both highly experienced drs are there dr Azeem sir and dr Nageshappa sir with 30 years experience…I Will recommend to plz visit this clinic ..",5 stars
I had a great experience at neha specialist veterinary hospital.The staff was friendly. Overall satisfied with the caring and professional service..,5 stars
FRIENDLY STAFF AND GOOD ATMOSPHERE FOR PETS health care,5 stars
The only place where i can find the needs for my pet. Staff friendly. Reasonable price. Love the hospitality over here.,5 stars
Service was too good it couldn't have been better,5 stars
"I had gotten my pet dog here for a check
up and they took very good care of her, highly recommended.",5 stars
