Review,Rating
"I had taken my pet to Shwana clinic as he had puked blood + 12 more pukes. It was the first time I took my pet to the clinic, that too in a critical condition. But this was the best decision!

We're eternally grateful to Dr. Swati and the team for caring for Rooski and giving him minimal yet necessary medication. From the diagnosis to care, everything was great. We're back home with a healthy pupper who has shopped for a few new toys too!

Thank you Doctor Swati and team 🙏",5 stars
"Absolutely DO NOT take your pet to this clinic.

If you care about your pet, stay far away from this place. The doctors here are under-experienced and seem to treat animals like test subjects. They gave my beloved pet excessive medication without even knowing what was wrong — just blindly trying out treatments. This negligence led to my pet's death.

They are completely money-minded, have no sense of time or urgency, and lack empathy. It’s clear they’re more focused on profits than proper care. Clinics like this should not be allowed to operate. They are dangerous to innocent lives.

Please be cautious. Don’t let what happened to my pet happen to yours.",1 star
"This clinic is an amazing place to take to your pets doctors here are very friendly. The clinic is very clean , they also have multiple products to sell also they give good discounts i would highly recommend this clinic for your pets.",5 stars
"I lost my cat yesterday. I am not sure if treatment given was right or not. But after visiting my cats health deteriorated and he started foaming from mouth too much.
They had not told me my cat could die or anything like that. I believed treatment will help him.

Called them in the evening as he was getting worse they said no doctor available and suggested to try give creamy treat and bring back in the morning.

My cat was gone by morning . I can’t bring him back now, I can only regret and cry for rest of my life thinking of what could I have done differently to save him.

Here is a summary-
Took my cat as he had quit eating for 2 days.
He ate half boiled chicken at boarding which he couldn’t digest (he only ate fully boiled chicken at home ) and pooped and puked in bed. He stopped eating right after.

Day 3 took him to Shwana, diagnosed with below
•     Fever (105.4°F)
• Salivation/ dehydration
• Flatulence, abdominal pain
• Low WBC, low platelets
• Extremely high SGPT (>1000)
• Suspected viral infection or Mycoplasmosis

Treatment Given:
• Inj. Meloxicam (0.2 mg/kg, SC): Pain relief and anti-inflammatory
• Inj. DNS (30 ml IV) + Inj. RL (30 ml IV): IV fluids to support hydration and recovery
• Inj. T-one or C-one(20 mg IV): Likely an antibiotic
• Inj. : Enefest (something written like this) (2.2 mg/kg IV): Broad-spectrum antibiotic
• Inj. Pantoprazole (1 mg/kg IV): Protects stomach lining",1 star
"If your pets suffer and diseases or illness please don't trust such clinics......the treatment is very slow and is focused on generating more revenue. I request you keep such clinics only for general checkup and go to well reputed hospitals for better care incase of diseases. Most of the important medicines are not available and if prescribed by reputed doctors they then ask to get them if you want them. The negligence is subpar.
For serious illness or diseases please go to well known bigger hospitals with better facilities and doctors.",1 star
"I had the worst ever experience in this clinic. My pet was bruced in the groin area, (on Testicles with the trimmer). I immediately called the clinic and demanded to talk to the doctor. Response from the doctor"" when you shave at home, even you have cuts"".

I have no words to express how my little pet suffered. He couldn't sit or sleep. Impatient, sleepless, tired and restless.

It's up to you guys to decide if you want your pets in inhuman hands who treat animals like a lifeless money making Machine.",1 star
"Worst clinic ever. Please please don't take your pet here. I lost my pet because of their inhuman attitude. Doctor doesn't seems like a doctor. He will just ask you what's the problem with your pet and then will medicines and injections according to that only.
Areeey if you are a doctor then you should come first and check by yourself what is the issue and condition of the dog then according should inject the medicines.
My dog was perfectly fine until they gave him some very high dosage of injections. Even after I told them about the condition that due to the previous injections he was not able to properly walk also and was doing vomiting continuously, still they were not bothered and next day also in that condition gave him a very high dosage of medicine which is made to work 14 days medicine in one dose only. and finally his body couldn't able to digest that medicine and he passed away....

I request you guys🙏🙏 please consult to a professional doctor or clinic who will treat your dog like their own not like these who are just a money making machine.

OM SHANTI🙏",1 star
"Great selection of pet food and accessories! I found everything I needed, from high-quality food to toys and grooming items. Definitely  go-to this place for pet supplies!""",4 stars
"Best clinic for pets. Been here with my Sonu (retriver) who had itching from a week. Doc was so friendly and kind to treat him with patience.

Dr. Abhishek and Dr. Swathi both are well knowledgeable doctors. Thanks for your patience.

They also provide 10 to 15% off on products.

Will visit again for any pet suppliments.",5 stars
Great experience good Staff took care of my cat gave lots of tips to take care of pet,5 stars
"All doctors are good and experienced all my dogs are treated here
All must visit place",5 stars
"Recently visited clinic for my pup vaccination, doctors are very highly knowledgeable. Must recommend for pet parents",5 stars
Really good pet clinic. Very friendly and accommodating people. The place is clean and accessible for any products or medicines. I took my kitten for her first check up. They helped me through it all and answered all my queries. Definitely recommend.,5 stars
"The pet food here is very costly, and the discounts are minimal. The customer service is poor—no one attended to me for a while, including the cashier or other staff. Overall, not a great experience.",3 stars
"Recently visited clinic regarding neutring for my pet roxy, doctor explained very well they are highly knowledgeable . Brought some stuff for roxy they give discount on products highly recommended for pet owner 🙂 …",5 stars
"Experienced and friendly doctors and staff, very good services. Pet foods and lot more things related to pets available there.",5 stars
"I've been a loyal customer at Shwana Pet Clinic for two years now, and I always take my pet there for exceptional care. The staff is welcoming, the facilities are top-notch, and the veterinarians are caring and knowledgeable. Highly recommended for anyone seeking excellent pet care!",5 stars
Pathetic Service. No professionalism. I booked an appointment for Grooming 2 days before and appointment was given at 3pm on Sunday. I had rescheduled all my other important appointments because these people gave me an appointment at 3pm. I got a call from them at 2:45pm stating the appointment has been rescheduled to 4pm. The entire day of my schedule has been screwed up because of this. They didn't even have a curtosy to apologize for this change. Very rude behaviour. I would not recommend this clinic.,1 star
Really good service professional staff and affordable. Did my cats Neutring and all good!! Will visit again for my dog checkups as well!!,5 stars
One of the best clinic for pets and they have experts who take care of pets. They make many kinds of toys for pets and many more. Friendly staff and caring staff. Best place for a pet clinic.,5 stars
The best pet clinic i have ever visited. All are very friendly and always happy to help. The area is always clean and hygienic. They have the different kinds of foods treats and medical facilities available. Your little ones are in safe hands.,5 stars
"I would like to share the experience of my pet  cat Sugar at the shwana clinic. To start with, the doctor are soo caring. Any pet that comes in is treated soo well cuddled, petted and give attention. They are always willing to listen to whatever you have to say and then give you proper advice. Even the staff will always greet you with a smile and help you to find the product you are looking out for. Its been 2 month I have being going there all vacations n treatment have been done there. Sugar have a fungal infection but now she is perfectly fine. Thank you to both the doctors for such a wonderful experience. Looking forward to the same treatment. And congratulations on completing two years. Thank you very much for the beautiful gift.",5 stars
Very good experience for. Shwana pet clinic 🥰 …,5 stars
"Nicely maintained, economical. Got nails trimming and ear cleaning of my Pug.",5 stars
Best hospital for your fur babies. My male cat had ring worm infection and i had visited them for same. Though they already had enough appointments for grooming for the day still they manage to get my pet groomed. Very thankful to Dr. Abhishek and his team. Thanks for being patient and creating friendly atmosphere for our fur babies.,5 stars
